Device ID Label,MAC Address,Build Number,Notes
1,80:65:99:A1:68:04,20240625_00:41:20,
2,80:65:99:A1:6A:08,20240625_00:41:20,
3,80:65:99:A1:67:84,20240625_00:41:20,
4,80:65:99:A1:68:0C,20240625_00:41:20,
5,80:65:99:A1:67:B4,20240625_00:41:20,
6,74:4D:BD:88:D1:98,20240625_00:41:20,
7,80:65:99:A1:6A:70,20240625_00:41:20,
8,80:65:99:A1:67:8C,20240625_00:41:20,
9,80:65:99:A1:67:FC,20240625_00:41:20,
10,80:65:99:A1:67:4C,20240625_00:41:20,
11,74:4D:BD:88:D1:A0,20240625_00:41:20,
12,80:65:99:A1:69:BC,20240625_00:41:20,
13,80:65:99:A1:67:2C,20240625_00:41:20,
14,74:4D:BD:88:D2:A0,20240625_00:41:20,
15,80:65:99:A1:68:94,20240625_00:41:20,
16,74:4D:BD:88:D1:7C,20240625_00:41:20,
17,74:4D:BD:88:D4:8C,20240625_00:41:20,
18,74:4D:BD:88:D0:24,20240625_00:41:20,
19,74:4D:BD:88:CE:A4,20240625_00:41:20,
20,74:4D:BD:88:D2:98,20240625_00:41:20,
21,80:65:99:A1:68:C4,20240625_00:41:20,
22,74:4D:BD:88:CE:C0,20240625_00:41:20,
23,74:4D:BD:88:CE:DC,20240625_00:41:20,
24,74:4D:BD:88:D0:C8,20240625_00:41:20,
25,80:65:99:A1:69:A4,20240625_00:41:20,
26,80:65:99:A1:67:1C,20240625_00:41:20,
27,74:4D:BD:88:D0:60,20240625_00:41:20,
28,74:4D:BD:88:D3:40,20240625_00:41:20,
29,80:65:99:A1:69:D8,20240625_00:41:20,
30,74:4D:BD:88:CE:3C,20240625_00:41:20,
31,74:4D:BD:88:D1:70,20240625_00:41:20,
32,74:4D:BD:88:CF:04,20240625_00:41:20,
33,74:4D:BD:88:CE:B4,20240625_00:41:20,
34,80:65:99:A1:6A:8C,20240625_00:41:20,
35,74:4D:BD:88:D2:6C,20240625_00:41:20,
36,80:65:99:A1:6A:14,20240625_00:41:20,
37,74:4D:BD:88:D1:A8,20240625_00:41:20,
38,74:4D:BD:88:D1:FC,20240625_00:41:20,
39,74:4D:BD:88:D4:78,20240625_00:41:20,
40,74:4D:BD:88:D4:68,20240625_00:41:20,
41,80:65:99:A1:68:88,20240625_00:41:20,
42,74:4D:BD:88:D1:38,20240625_00:41:20,In Repair
43,74:4D:BD:88:CE:F4,20240625_00:41:20,
44,80:65:99:A1:67:34,20240625_00:41:20,
45,80:65:99:A1:67:80,20240625_00:41:20,
46,74:4D:BD:87:3B:88,20240625_00:41:20,
47,74:4D:BD:88:D0:28,20240625_00:41:20,
48,80:65:99:A1:67:70,20240625_00:41:20,
49,80:65:99:A1:67:04,20240625_00:41:20,
50,74:4D:BD:88:D0:34,20240625_00:41:20,
51,80:65:99:A1:67:18,20240625_00:41:20,
52,74:4D:BD:88:D2:C4,20240625_00:41:20,
53,80:65:99:A1:67:A0,20240625_00:41:20,
54,80:65:99:A1:67:00,20240625_00:41:20,
55,74:4D:BD:88:D1:E8,20240625_00:41:20,
56,74:4D:BD:88:D2:BC,20240625_00:41:20,
57,74:4D:BD:88:D2:8C,20240625_00:41:20,
58,74:4D:BD:88:D1:C0,20240625_00:41:20,
59,74:4D:BD:88:CE:D4,20240625_00:41:20,
60,74:4D:BD:88:CE:E8,20240625_00:41:20,
61,74:4D:BD:88:D4:70,20240625_00:41:20,
62,74:4D:BD:88:D1:80,20240625_00:41:20,
63,74:4D:BD:88:CE:4C,20240625_00:41:20,
64,80:65:99:A1:66:E8,,
65,74:4D:BD:88:CF:54,,
66,80:65:99:A1:68:C0,,
67,,,
68,,,
69,,,
70,,,
